UTC,Call,Sender wallet,Transaction hash,Status,Contract,Block
2026-09-12T02:14:59.000Z,distribute,0x7d381D70e3Cc6532Fd5546e5439bC3D5CeCD28DC,0xe0095fe253b001314d06e4f5abbcba343456fe2309a2d342be8a0520024edaae,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20406571
2026-09-12T02:16:11.000Z,claim,0x7d381D70e3Cc6532Fd5546e5439bC3D5CeCD28DC,0xd3cf60b97fd9410eb26cfa7c1ff2ee2bb38cd88d39cccdb548e6447058feeee4,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20406715
2026-09-12T02:56:29.000Z,collect,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0x58823aa6a3cfe73f2dd3b147d0eca4293eece1c9d87ba3d0aab1907180474d2d,success,0x310baFC75bFF39BEf7BFdCDcBeF6Cac140e37fBe,20411491
2026-09-12T02:56:34.000Z,distribute,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0x5622d4b8a89ae31879649ddb1d8c81e76fa64929d6d3bab4904ff1aca52577d5,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20411501
2026-09-12T04:22:56.000Z,collect,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0xe75681e904f47a85e7396f72dc8b665f8f874edb4ed2d5c47d81eb21f6fb765d,success,0x310baFC75bFF39BEf7BFdCDcBeF6Cac140e37fBe,20421731
2026-09-12T04:23:00.000Z,distribute,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0x59dd2a28d8599d5ba13cbe7b9f9ffaa9ad7837111c63c591cbbedb1247c3130c,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20421739
2026-09-12T04:23:03.000Z,claim,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0x65d403a948055264f6ef6431582bc2ffadce54b377b349684c548ea013832edf,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20421745
2026-09-12T06:09:44.000Z,collect,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0x887a147eeccd8201fc6c85a7500e3a4e839633046c61b88add776d809104035f,success,0x310baFC75bFF39BEf7BFdCDcBeF6Cac140e37fBe,20434391
2026-09-12T06:09:47.000Z,distribute,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0x70181c1a18a45fb4e506a31f78a317ca9cfdc3fb66dc4084cbaabedd24ee758c,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20434397
2026-09-12T06:10:50.000Z,distribute,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0x77cae0c693ab70e4859e04192e5ab6636071ee5ad14ea392ce615472326e6675,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20434522
2026-09-12T06:11:54.000Z,distribute,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0xf3033c1db45712ff0b0c852082ab8e501c05239bb9b84afeec3d4bbd5f19c83a,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20434647
2026-09-12T08:03:13.000Z,collect,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0x2ecfda04a5febe2c3b898c93470d1c62609a22c618743dcb95eb624895bd7ceb,success,0x310baFC75bFF39BEf7BFdCDcBeF6Cac140e37fBe,20447805
2026-09-12T08:03:17.000Z,distribute,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0x807a67dbca81f22300607cbcd3ecc4049eeb9ff41a19b038829a3f6f75059800,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20447812
2026-09-12T09:56:43.000Z,collect,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0xbb50a50c99d80edc8de683023d224c7fb6c2984e947645ffb04b3ff2a33b5a3d,success,0x310baFC75bFF39BEf7BFdCDcBeF6Cac140e37fBe,20461238
2026-09-12T09:56:47.000Z,distribute,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0x3a3717091f3238444dc6466a193cf84d3a9eac66d27701c8b2812aa22d710990,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20461245
2026-09-12T10:19:54.000Z,distribute,0x7d381D70e3Cc6532Fd5546e5439bC3D5CeCD28DC,0xb2fdfa5505b79b3ffe49ad15eadc635f8d00a3c79178889b03c983e0223ce170,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20463981
2026-09-12T10:20:02.000Z,claim,0x7d381D70e3Cc6532Fd5546e5439bC3D5CeCD28DC,0x2764cc45aac6e2a2ec1246f4c6c64bc7c1f134b51dad0ad09f80e92ffa7940d8,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20463998
